Wavelength,Response
400,0.098421049
410,0.152631578
420,0.171052628
430,0.184210529
440,0.188947372
450,0.181578941
460,0.171052628
470,0.174210529
480,0.188947372
490,0.197368412
500,0.204210529
510,0.214736843
520,0.22
530,0.213684216
540,0.207368412
550,0.195789471
560,0.186315784
570,0.179473686
580,0.178947372
590,0.178421059
600,0.169473686
610,0.156842108
620,0.150526314
630,0.150526314
640,0.149473686
650,0.144736843
660,0.137368422
670,0.129473686
680,0.122105265
690,0.117894735
700,0.110526314
710,0.102631578
720,0.103157892
730,0.098947372
740,0.094210529
750,0.088947372
760,0.082631578
770,0.074210525
780,0.07
790,0.069473686
800,0.066315789
810,0.062631578
820,0.058421054
830,0.053157897
840,0.048947368
850,0.047894735
860,0.045263157
870,0.039473684
880,0.037368422
890,0.037894738
900,0.037368422
910,0.034736843
920,0.033157895
930,0.031052632
940,0.027368422
950,0.022631578
960,0.020526316
970,0.020526316
980,0.021578948
990,0.019473684
1000,0.017368422
